Temperature (K),Pressure (bar),Density (kg/m3)
161.400,0.8170,2978.330
161.410,0.8180,2966.150
161.850,0.8399,2963.245
162.350,0.8653,2959.939
162.850,0.8913,2956.629
163.350,0.9180,2953.314
163.850,0.9452,2949.994
164.350,0.9731,2946.669
164.850,1.002,2943.340
165.350,1.031,2940.005
165.850,1.061,2936.666
166.350,1.091,2933.322
166.850,1.122,2929.972
167.350,1.154,2926.618
167.850,1.186,2923.258
168.350,1.220,2919.894
168.850,1.254,2916.524
169.350,1.288,2913.148
169.850,1.324,2909.768
170.350,1.360,2906.382
170.850,1.396,2902.990
171.350,1.434,2899.593
171.850,1.472,2896.190
172.350,1.512,2892.782
172.850,1.552,2889.368
173.350,1.592,2885.948
173.850,1.634,2882.522
174.350,1.676,2879.091
174.850,1.719,2875.653
175.350,1.763,2872.210
175.850,1.808,2868.760
176.350,1.854,2865.305
176.850,1.901,2861.843
177.350,1.948,2858.375
177.850,1.997,2854.900
178.350,2.046,2851.420
178.850,2.096,2847.932
179.350,2.147,2844.439
179.850,2.200,2840.939
180.350,2.253,2837.432
180.850,2.307,2833.918
181.350,2.362,2830.398
181.850,2.418,2826.871
182.350,2.475,2823.337
182.850,2.532,2819.796
183.350,2.591,2816.248
183.850,2.651,2812.693
184.350,2.712,2809.131
184.850,2.775,2805.561
185.350,2.838,2801.985
185.850,2.902,2798.400
186.350,2.967,2794.809
